Name,Club,Age,International Reputation,Nationality
S. Haller,Eintracht Frankfurt,24,1.0,France
Bernard,Everton,25,2.0,Brazil
T. Inui,Real Betis,30,1.0,Japan
Portu,Girona FC,26,1.0,Spain
M. Batshuayi,Valencia CF,24,2.0,Belgium
E. Zahavi,Guangzhou R&F; FC,30,1.0,Israel
T. Vaclík,Sevilla FC,29,1.0,Czech Republic
N. Pope,Burnley,26,1.0,England
Héctor Bellerín,Arsenal,23,3.0,Spain
P. Kadeřábek,TSG 1899 Hoffenheim,26,2.0,Czech Republic
J. Butland,Stoke City,25,2.0,England
J. Vestergaard,Southampton,25,2.0,Denmark
J. Tarkowski,Burnley,25,1.0,England
Deulofeu,Watford,24,3.0,Spain
E. Dier,Tottenham Hotspur,24,2.0,England
J. Murillo,Valencia CF,26,2.0,Colombia
M. Badelj,Lazio,29,2.0,Croatia
Ismaily,Shakhtar Donetsk,28,1.0,Brazil
N. Schulz,TSG 1899 Hoffenheim,25,1.0,Germany
L. Digne,Everton,24,2.0,France
M. Uth,FC Schalke 04,26,1.0,Germany
Cristian Tello,Real Betis,26,2.0,Spain
D. Vida,Beşiktaş JK,29,3.0,Croatia
L. Muriel,Sevilla FC,27,2.0,Colombia
V. Aboubakar,FC Porto,26,3.0,Cameroon
A. Oxlade-Chamberlain,Liverpool,24,2.0,England
S. Aurier,Tottenham Hotspur,25,2.0,Ivory Coast
J. Matip,Liverpool,26,2.0,Cameroon
Y. Rakitskyi,Shakhtar Donetsk,28,2.0,Ukraine
Sergi Enrich,SD Eibar,28,2.0,Spain
A. Yarmolenko,West Ham United,28,3.0,Ukraine
Hugo Mallo,RC Celta,27,2.0,Spain
André Almeida,SL Benfica,27,2.0,Portugal
D. Didavi,VfB Stuttgart,28,2.0,Germany
R. Rodríguez,Milan,25,3.0,Switzerland
R. Pereyra,Watford,27,2.0,Argentina
Mario Gaspar,Villarreal CF,27,2.0,Spain
Maicon,Galatasaray SK,29,2.0,Brazil
D. Blind,Ajax,28,3.0,Netherlands
J. Zoet,PSV,27,2.0,Netherlands
A. Ljajić,Beşiktaş JK,26,2.0,Serbia
Canales,Real Betis,27,2.0,Spain
Iago Falqué,Torino,28,3.0,Spain
L. de Jong,PSV,27,2.0,Netherlands
Guaita,Crystal Palace,31,2.0,Spain
Muniain,Athletic Club de Bilbao,25,2.0,Spain
Susaeta,Athletic Club de Bilbao,30,2.0,Spain
S. Rudy,FC Schalke 04,28,2.0,Germany
K. Trapp,Eintracht Frankfurt,27,2.0,Germany
V. Wanyama,Tottenham Hotspur,27,2.0,Kenya
N. Nkoulou,Torino,28,3.0,Cameroon
R. Boudebouz,Real Betis,28,2.0,Algeria
Camacho,VfL Wolfsburg,28,2.0,Spain
S. Ulreich,FC Bayern München,29,2.0,Germany
M. Musacchio,Milan,27,3.0,Argentina
C. Stuani,Girona FC,31,1.0,Uruguay
P. Gulácsi,RB Leipzig,28,2.0,Hungary
Bruno,Villarreal CF,34,3.0,Spain
F. Delph,Manchester City,28,2.0,England
A. Lallana,Liverpool,30,3.0,England
Marcelo,Olympique Lyonnais,31,2.0,Brazil
S. Coleman,Everton,29,2.0,Republic of Ireland
Alexandre Pato,Tianjin Quanjian FC,28,3.0,Brazil
Antunes,Getafe CF,31,2.0,Portugal
Nacho Monreal,Arsenal,32,2.0,Spain
Beñat,Athletic Club de Bilbao,31,2.0,Spain
A. Fernández,Beijing Renhe FC,32,2.0,Argentina
K. Gameiro,Valencia CF,31,3.0,France
I. Piatti,Montreal Impact,33,2.0,Argentina
V. Birsa,Chievo Verona,31,2.0,Slovenia
S. Romero,Manchester United,31,3.0,Argentina
D. Criscito,Genoa,31,2.0,Italy
D. Valeri,Portland Timbers,32,2.0,Argentina
D. Sturridge,Liverpool,28,3.0,England
Raúl García,Athletic Club de Bilbao,31,2.0,Spain
S. Defour,Burnley,30,2.0,Belgium
M. Škrtel,Fenerbahçe SK,33,3.0,Slovakia
S. Radu,Lazio,31,2.0,Romania
G. Cahill,Chelsea,32,3.0,England
L. Diarra,Paris Saint-Germain,33,3.0,France
